id,장소명,카테고리,키워드,설명,주소
1,스타벅스 공릉DT점,카페,"카페,감성,SNS",드라이브 스루가 가능한 편리한 대형 프랜차이즈 카페,서울 노원구 동일로 1015
2,할리스 노원문화의거리점,카페,"카페,감성,거리,핫플",노원 문화의 거리 중심에 위치한 접근성 좋은 카페,서울 노원구 노해로81길 22-26 1층
3,스타벅스 노원역점,카페,"카페,감성,SNS",유동인구가 많은 노원역 인근의 대표 프랜차이즈 카페,서울 노원구 동일로 1413 남성빌딩 1층
4,노원두물마루 커피&스낵,카페,"카페,감성,여유",간단한 커피와 간식을 즐길 수 있는 소규모 카페,서울 노원구 중랑천동자전거길 1402
5,카페포레스트,카페,"카페,자연,힐링,여유",자연 분위기를 느낄 수 있는 힐링 컨셉 카페,서울 노원구 한글비석로12길 51-49
6,오피셜커피,카페,"카페,감성,SNS",감각적인 인테리어가 돋보이는 트렌디 카페,서울 노원구 동일로184길 69-7 1층 101호
7,투썸플레이스 상계점,카페,"카페,감성,SNS",디저트와 커피를 함께 즐기기 좋은 프랜차이즈 카페,서울 노원구 한글비석로 412 1층
8,스타벅스 태릉입구역DT점,카페,"카페,감성,SNS",접근성과 편의성이 좋은 드라이브 스루 카페,서울 노원구 화랑로 469
9,스타벅스 상계초교사거리점,카페,"카페,감성,SNS",주거지역 인근의 이용하기 편한 카페,서울 노원구 노원로 449
10,호이폴로이커피로스터스,카페,"카페,감성,사진",직접 로스팅한 원두를 사용하는 전문 카페,서울 노원구 동일로186길 64 1층
11,에슬로우커피 공릉점,카페,"카페,감성,여유",조용한 분위기에서 여유를 즐길 수 있는 카페,서울 노원구 노원로 3 우토파크프라자 1층
12,투썸플레이스 태릉입구역점,카페,"카페,감성,SNS",디저트 중심으로 인기가 높은 카페,서울 노원구 동일로 985 1-2층
13,마카모예 브레드바,디저트카페,"카페,감성,사진,SNS",베이커리와 디저트를 함께 즐길 수 있는 감성 카페,"서울 노원구 동일로190길 61 지하1층,1-2층"
14,투썸플레이스 석계역점,카페,"카페,감성,SNS",역세권에 위치한 접근성 좋은 카페,서울 노원구 석계로1길 10 2층
15,꽁냥꽁냥,고양이카페,"카페,체험,감성,힐링",고양이와 교감하며 힐링할 수 있는 이색 카페,서울 노원구 동일로 1058 2층
16,메가MGC커피 공릉도깨비시장점,카페,"카페,가성비,SNS",가성비 좋은 커피를 제공하는 프랜차이즈 카페,서울 노원구 동일로 1026 1층
17,브런힐,카페,"카페,감성,여유",브런치 메뉴와 커피를 함께 즐길 수 있는 카페,서울 노원구 중계로8길 48 1층
18,웨이스테이션,카페,"카페,감성,사진",감각적인 공간 구성의 분위기 좋은 카페,서울 노원구 화랑로 467 2층
19,오누이,카페,"카페,감성,여유",편안한 분위기의 동네 카페,서울 노원구 동일로187길 12-47 1층
20,커피베스코,카페,"카페,감성,SNS",커피 맛에 집중한 소규모 카페,서울 노원구 상계로 55 2층
21,아너카페,카페,"카페,감성,여유",조용한 휴식을 즐기기 좋은 카페,서울 노원구 동일로192다길 9 A동 1-2층
22,할리스 태릉입구역점,카페,"카페,감성,SNS",역 근처에서 이용하기 편한 프랜차이즈 카페,서울 노원구 화랑로 453 1층
23,감각,카페,"카페,감성,사진",사진 찍기 좋은 감성적인 카페 공간,서울 노원구 상계로 77 1층
24,오르름,카페,"카페,감성,여유",차분한 분위기의 힐링형 카페,서울 노원구 노원로1길 121 1층
25,시즌,디저트카페,"카페,감성,사진",디저트 중심의 감성 카페,서울 노원구 상계로3길 38-2 2층
26,씨즌 서울 바이 홍신애,카페,"카페,감성,핫플",유명 셰프 브랜드의 트렌디 카페,서울 노원구 덕릉로145길 108 1층
27,무이로커피,카페,"카페,감성,여유",편안한 분위기의 감성 카페,서울 노원구 동일로186길 77-7 명문빌딩 1층
28,스타쿠빙,카페,"카페,감성,사진",디저트와 커피를 함께 즐길 수 있는 카페,서울 노원구 동일로 1019 1-3층
29,탐앤탐스 하계점,카페,"카페,감성,SNS",넓은 공간을 갖춘 프랜차이즈 카페,서울 노원구 섬밭로 258 1층
30,헤미스,카페,"카페,감성,사진",감각적인 인테리어의 카페,서울 노원구 상계로10길 23 1층
31,아웃캐스트,카페,"카페,감성,핫플",개성 있는 분위기의 트렌디 카페,서울 노원구 상계로3길 10 한일빌딩 지하1층 2~3호
32,니토,카페,"카페,감성,여유",조용하게 머무르기 좋은 카페,서울 노원구 동일로186길 46 1층 101호
33,우지커피 중계은행사거리점,카페,"카페,가성비,SNS",가성비 좋은 커피 브랜드 카페,서울 노원구 중계로 201 오성프라자 1층 104~105호
34,후아나 석계점,카페,"카페,감성,사진",아늑한 분위기의 감성 카페,서울 노원구 석계로1길 18 301호
35,강강술래 상계지점,육류,"맛집,음식,가성비",고급 한우와 고기를 즐길 수 있는 인기 식당,서울 노원구 동일로 1628 1층
36,경복식당,한식,"맛집,음식,가성비",가정식 느낌의 한식을 제공하는 식당,서울 노원구 공릉로39길 10 1층
37,크래버대게나라 노원점,해산물,"맛집,음식,핫플",대게 요리를 전문으로 하는 해산물 맛집,서울 노원구 한글비석로 326 1-2층
38,감동식당,한식,"맛집,음식,가성비",푸짐한 한식 메뉴를 제공하는 식당,서울 노원구 한글비석로47길 58 1층
39,제일콩집,두부,"맛집,음식,건강",건강한 두부 요리를 전문으로 하는 식당,서울 노원구 동일로174길 37-8 1층
40,닭한마리 공릉본점,닭요리,"맛집,음식,핫플",진한 국물의 닭요리로 유명한 맛집,서울 노원구 동일로 1020 1층
41,전통평양냉면 제형면옥,냉면,"맛집,음식,전통",전통 방식의 평양냉면 전문점,서울 노원구 공릉로59나길 78-10 2층
42,노원돈부리,일식,"맛집,음식",일식 덮밥을 중심으로 한 식당,서울 노원구 동일로 1343 동일프라자 1층 101-103호
43,이오냉면 노원점,냉면,"맛집,음식",깔끔한 맛의 냉면 전문점,서울 노원구 상계로1길 38-11 1층
44,참만나,갈비,"맛집,음식",갈비 요리를 중심으로 한 고기 전문점,서울 노원구 화랑로 443 디벨리움 3층
45,털보고된이 본점,해물,"맛집,음식",신선한 해산물을 제공하는 식당,서울 노원구 노해로81길 22-22 1층
46,예향정 노원점,한식,"맛집,음식",깔끔한 한식을 제공하는 식당,서울 노원구 동일로217가길 31 청화빌딩 2층
47,로니로티 노원점,양식,"맛집,음식",파스타 등 양식 메뉴 중심의 식당,서울 노원구 상계로 63-7 청우빌딩 2층 201호
48,삼덕식당,육류,"맛집,음식",고기 요리가 인기인 식당,서울 노원구 상계로5길 9 1층
49,온달왕돈까스 상계점,돈까스,"맛집,음식,가성비",가성비 좋은 돈까스를 제공하는 식당,서울 노원구 한글비석로20길 10 1층
50,돈까스먹는용만이,돈까스,"맛집,음식",다양한 돈까스 메뉴를 제공하는 식당,서울 노원구 한글비석로20길 52 1층
51,하노이별 공릉점,베트남,"맛집,음식",베트남 음식을 즐길 수 있는 식당,서울 노원구 공릉로29길 18 1층 B101호
52,소담촌 노원역점,샤브샤브,"맛집,음식",샤브샤브를 즐길 수 있는 인기 식당,서울 노원구 상계로 90 마블러스1 2층
53,영양센타 노원점,삼계탕,"맛집,음식,건강",삼계탕으로 유명한 보양식 전문점,서울 노원구 동일로217가길 31 1층
54,엄마마늘보쌈,보쌈,"맛집,음식",마늘보쌈이 인기인 식당,서울 노원구 석계로 16
55,나승준함흥냉면,냉면,"맛집,음식",함흥냉면 스타일의 냉면 전문점,서울 노원구 상계로 97 위너스빌딩 1층 104호
56,마포생고기,육류,"맛집,음식",신선한 고기를 제공하는 고깃집,서울 노원구 동일로190길 39 1층 2층
57,샤브20 노원상계점,샤브샤브,"맛집,음식",가성비 좋은 샤브샤브 식당,서울 노원구 노원로 452 1층
58,피노키오냉면,냉면,"맛집,음식",시원한 냉면을 제공하는 식당,서울 노원구 한글비석로 474 보람상가 2층 206호
59,경성초밥,초밥,"맛집,음식",신선한 초밥을 제공하는 일식당,서울 노원구 공릉로 119-5 1층
60,진미치킨숯불바베큐,치킨,"맛집,음식",숯불 향이 특징인 치킨 전문점,서울 노원구 동일로218길 25 석창빌딩 1층
61,다미참치,참치,"맛집,음식",참치회를 전문으로 하는 식당,서울 노원구 동일로218길 17 2층
62,왕십리조개창고 노원점,조개,"맛집,음식,핫플",조개구이를 즐길 수 있는 인기 식당,서울 노원구 상계로1길 38-11 우창프라자 2층 201호
63,엄마손칼국수,칼국수,"맛집,음식",정겨운 칼국수 전문 식당,서울 노원구 상계로39길 5
64,썸머타이,태국,"맛집,음식",태국 음식을 즐길 수 있는 식당,서울 노원구 노해로75길 14-25 동신빌딩 1층
65,중원,중식,"맛집,음식",중식 요리를 제공하는 식당,서울 노원구 동일로242가길 36 1층
66,쪼매매운떡볶이 공릉점,떡볶이,"맛집,음식",매운 떡볶이가 인기인 분식집,서울 노원구 공릉로 208 1층
67,해품장 팔팔장어 본점,장어,"맛집,음식,보양",장어 요리를 전문으로 하는 보양식 식당,서울 노원구 노원로 192
68,페페그라노,이탈리안,"맛집,음식",이탈리안 요리를 제공하는 레스토랑,서울 노원구 공릉로32길 5 1층
69,동선식당,갈비,"맛집,음식",갈비 요리가 인기인 식당,서울 노원구 노해로85길 10-17 1층
70,불암산공원,공원,"자연,산책,힐링,여유",자연 속 산책과 휴식을 즐길 수 있는 공원,서울 노원구 덕릉로94길 73
71,화랑대철도공원,공원,"자연,산책,문화",기차 테마가 있는 이색적인 공원,서울 노원구 공릉동 29-4
72,불암산힐링타운,공원,"자연,힐링,체험",힐링과 체험이 가능한 자연 공간,서울 노원구 중계동 산 42-3
73,중계문화공원,공원,"자연,산책,여유",가볍게 산책하기 좋은 도심 공원,서울 노원구 동일로 1229
74,어린이교통공원,공원,"체험,활동,가족",아이들을 위한 체험형 공원,서울 노원구 덕릉로 483
75,석계역문화공원,공원,"자연,산책",도심 속 휴식을 위한 소규모 공원,서울 노원구 월계동 47-45
76,노해체육공원,공원,"자연,산책,활동",운동과 산책을 함께 즐길 수 있는 공원,서울 노원구 노원로22길 1
77,상계근린공원,공원,"자연,산책",주민들이 자주 찾는 근린공원,서울 노원구 상계동 620
78,수락산당고개지구공원,공원,"자연,산책,힐링",자연을 느낄 수 있는 산책 공원,서울 노원구 상계동 113-2
79,마들체육공원,공원,"자연,활동,스포츠",체육 시설이 잘 갖춰진 공원,서울 노원구 상계동 770-2
80,한내근린공원,공원,"자연,산책",조용한 분위기의 근린공원,서울 노원구 월계동 1-4
81,등나무근린공원,공원,"자연,산책,여유",여유로운 산책이 가능한 공원,서울 노원구 중계동 508
82,삿갓봉 근린공원,공원,"자연,산책",자연과 함께하는 산책 공원,서울 노원구 한글비석로 346
83,노원만남의광장,공원,"자연,여유,거리",휴식과 만남을 위한 열린 공간,서울 노원구 상계동 754-14
84,비석골근린공원,공원,"자연,산책",조용한 분위기의 동네 공원,서울 노원구 월계로45가길 57
85,노원문화예술회관,공연장,"문화,전시,체험",다양한 공연과 전시가 열리는 문화 공간,서울 노원구 중계로 181
86,광운대학교 동해문화예술관 대극장,공연장,"문화,전시",대형 공연이 가능한 공연장,서울 노원구 광운로 21 2-3층
87,노원문화의거리,테마거리,"거리,핫플,쇼핑",상점과 문화가 어우러진 거리,서울 노원구 상계동 719-1
88,노원문화예술회관 대공연장,공연장,"문화,전시",대규모 공연이 열리는 공연장,서울 노원구 중계로 181
89,문화살롱 5120,문화시설,"문화,체험,감성",전시와 문화 활동이 이루어지는 공간,서울 노원구 공릉로51길 20 지하1층
90,문화당구장,당구장,"활동,체험",당구를 즐길 수 있는 실내 스포츠 공간,서울 노원구 노해로81길 12-4 화랑상가 4층 2호
91,문화떡마을,전통,"체험,문화",전통 떡 체험이 가능한 공간,서울 노원구 동일로180길 53 1호 1층
92,노원문화의집,문화센터,"문화,체험",지역 주민을 위한 문화센터,서울 노원구 동일로 지하 1530-1
93,마들스포츠타운,스포츠,"스포츠,활동",다양한 스포츠 활동이 가능한 시설,서울 노원구 상계동 770-2
94,수락산스포츠타운,스포츠,"스포츠,활동",야외 스포츠 활동이 가능한 공간,서울 노원구 상계동 125
95,불암산스포츠타운,체육관,"스포츠,활동",체육 활동을 즐길 수 있는 시설,서울 노원구 공릉동 141
96,상경스포츠센터,스포츠센터,"스포츠,활동",실내 스포츠 시설,서울 노원구 동일로227길 61 상경중학교내
97,초안산스포츠타운 테니스장,테니스,"스포츠,활동",테니스를 즐길 수 있는 시설,서울 노원구 마들로5가길 113
98,금호스포츠센터,스포츠센터,"스포츠,활동",다양한 운동 시설이 있는 센터,서울 노원구 상계로5길 32 지하 1층
99,건영볼링센타,볼링,"활동,체험",볼링을 즐길 수 있는 공간,서울 노원구 섬밭로 258 건영옴니백화점 지하2층
100,공릉볼링센타,볼링,"활동,체험",지역 주민들이 찾는 볼링장,서울 노원구 동일로180길 14 4층
101,더블랙볼링장,볼링,"활동,체험",쾌적한 시설의 볼링장,서울 노원구 노해로 507 와우쇼핑몰 지하1층
102,스포애니 노원점,헬스,"스포츠,활동",헬스와 운동이 가능한 피트니스 센터,서울 노원구 동일로 1361 상계주공아파트2단지 상가 202동 지하1층 105호
103,커브스 수락산클럽,헬스,"스포츠,활동",여성 전용 피트니스 센터,서울 노원구 동일로242가길 50 세주빌딩 4층
104,밀리언짐 상계점,헬스,"스포츠,활동",다양한 운동 기구를 갖춘 헬스장,서울 노원구 한글비석로 384 대호프라자 지하 1층
105,에이블짐 노원역점,헬스,"스포츠,활동",접근성 좋은 헬스클럽,서울 노원구 동일로 1401 지하1층
